model,cluster,count,percentage
KMeans_k5,0,2619,7.927235304800533
KMeans_k5,1,18385,55.648041649010224
KMeans_k5,2,5538,16.76251589079242
KMeans_k5,3,3552,10.751256129305647
KMeans_k5,4,2944,8.910951026091169
GMM_diag_k4,0,6207,18.78745686784914
GMM_diag_k4,1,17802,53.883406985895036
GMM_diag_k4,2,5634,17.053090380773657
GMM_diag_k4,3,3395,10.276045765482172
GMM_diag_k5,0,13783,41.71862703553484
GMM_diag_k5,1,4161,12.5945880501241
GMM_diag_k5,2,5543,16.777649978812274
GMM_diag_k5,3,6093,18.44239966099643
GMM_diag_k5,4,3458,10.466735274532358
GMM_diag_k6,0,4422,13.384587444760578
GMM_diag_k6,1,6786,20.53998426054846
GMM_diag_k6,2,5602,16.956232217446576
GMM_diag_k6,3,8824,26.708638537441733
GMM_diag_k6,4,3160,9.564743628548944
GMM_diag_k6,5,4244,12.845813911253709
