model,cluster,count,percentage
KMeans_k5,0,2234,6.761910527271627
KMeans_k5,1,10841,32.813729644651616
KMeans_k5,2,6687,20.24032931775531
KMeans_k5,3,9889,29.932199285671047
KMeans_k5,4,3387,10.251831224650402
GMM_diag_k4,0,1791,5.4210303287123915
GMM_diag_k4,1,5756,17.42236212845814
GMM_diag_k4,2,17502,52.97536170470367
GMM_diag_k4,3,7989,24.181245838125793
GMM_diag_k5,0,803,2.4305345359888615
GMM_diag_k5,1,2489,7.533749016284279
GMM_diag_k5,2,17430,52.75743083721775
GMM_diag_k5,3,8710,26.36358133058902
GMM_diag_k5,4,3606,10.914704279920091
GMM_diag_k6,0,788,2.3851322719292933
GMM_diag_k6,1,3543,10.724014770869909
GMM_diag_k6,2,17436,52.77559174284158
GMM_diag_k6,3,4971,15.046310309340761
GMM_diag_k6,4,2509,7.594285368363702
GMM_diag_k6,5,3791,11.474665536654761
