check_type,variant,k,random_state,n_features,silhouette_score,calinski_harabasz_score,davies_bouldin_score,min_cluster_size,max_cluster_size,min_cluster_percentage,max_cluster_percentage
baseline_k_comparison,current_selected_features,3,42,20,0.27412236305917503,7123.57615078865,1.2982332438838453,3100,25905,9.383134572310672,78.40971003087354
baseline_k_comparison,current_selected_features,4,42,20,0.2390488719613119,7017.5609457915925,1.5840925466289795,2987,20182,9.041104183061929,61.08723288334645
baseline_k_comparison,current_selected_features,5,42,20,0.22084811207880492,6347.157518640038,1.539205235975246,2619,18385,7.927235304800533,55.648041649010224
baseline_k_comparison,current_selected_features,6,42,20,0.15182971526285033,5767.41127049809,1.8541599963230773,1745,9913,5.2817967189297175,30.004842908166353
baseline_k_comparison,current_selected_features,7,42,20,0.1512354769155104,5379.745278752299,1.7881780417456323,1079,9772,3.265936194684908,29.57806162600642
baseline_k_comparison,current_selected_features,8,42,20,0.15393363940753144,5047.985803199454,1.7682894292396014,1072,10159,3.24474847145711,30.749440038743263
feature_sensitivity,current_selected_features,4,42,20,0.2390488719613119,7017.5609457915925,1.5840925466289795,2987,20182,9.041104183061929,61.08723288334645
feature_sensitivity,current_selected_features,5,42,20,0.22084811207880492,6347.157518640038,1.539205235975246,2619,18385,7.927235304800533,55.648041649010224
feature_sensitivity,current_selected_features,6,42,20,0.15182971526285033,5767.41127049809,1.8541599963230773,1745,9913,5.2817967189297175,30.004842908166353
feature_sensitivity,without_total_lifetime_spend,4,42,19,0.24996475742640742,7235.677309258869,1.5610456670597832,2917,20389,8.829226950783946,61.713784127368484
feature_sensitivity,without_total_lifetime_spend,5,42,19,0.22931003751380713,6552.931868960478,1.5221898304223587,2393,18599,7.243174526303045,56.29578061626006
feature_sensitivity,without_total_lifetime_spend,6,42,19,0.2281113505376784,5892.449823354649,1.5121711225795214,1079,18481,3.265936194684908,55.938616138991456
