k,seed_a,seed_b,adjusted_rand_index
4,0,21,0.9961172966851989
4,0,42,0.9968581474627374
4,0,99,0.9962722712006955
4,0,123,0.9961715497762819
4,21,42,0.9973247282446301
4,21,99,0.9990979390397333
4,21,123,0.9995873414421591
4,42,99,0.9980525128006713
4,42,123,0.9977370364664582
4,99,123,0.9993316077117587
5,0,21,1.0
5,0,42,1.0
5,0,99,0.9999052739429527
5,0,123,0.9992841519733288
5,21,42,1.0
5,21,99,0.9999052739429527
5,21,123,0.9992841519733288
5,42,99,0.9999052739429527
5,42,123,0.9992841519733288
5,99,123,0.9991894782983431
6,0,21,0.9994057283373916
6,0,42,0.999691369160479
6,0,99,0.9994057283373916
6,0,123,0.9990972733081078
6,21,42,0.9990972640876956
6,21,99,1.0
6,21,123,0.9996913825073044
6,42,99,0.9990972640876956
6,42,123,0.9987889048951163
6,99,123,0.9996913825073044
